# BRON:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 370:         5.414       51.446      20.30  EINDHOVEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN;YYYYMMDD;   TN;   TX;   RH
# 
370;20130801;177;325;0
370;20130802;194;361;0
370;20130803;134;262;0
370;20130804;116;279;0
370;20130805;125;309;0
370;20130806;155;229;0
370;20130807;141;169;102
370;20130808;121;225;0
370;20130809;88;236;0
370;20130810;137;213;0
370;20130811;129;232;113
370;20130812;116;203;0
370;20130813;91;205;11
370;20130814;90;215;20
370;20130815;108;232;1
370;20130816;133;290;3
370;20130817;158;251;8
370;20130818;165;238;28
370;20130819;98;214;37
370;20130820;87;224;0
370;20130821;109;251;0
370;20130822;109;258;4
370;20130823;131;274;0
370;20130824;125;209;7
370;20130825;127;205;86
370;20130826;115;235;0
370;20130827;113;243;0
370;20130828;101;244;0
370;20130829;99;249;0
370;20130830;96;241;0
370;20130831;81;227;0
